Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,Sensor,Actuator,instances
Vehicle.Cabin.Seat.Switch.Warmer.Row2.Pos5,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row3,"5011","actuator","boolean","True","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row3.Pos1,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row3.Pos2,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row3.Pos3,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row3.Pos4,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row3.Pos5,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row4,"5011","actuator","boolean","True","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row4.Pos1,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row4.Pos2,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row4.Pos3,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row4.Pos4,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Warmer.Row4.Pos5,"5011","actuator","boolean","False","","","","Warmer switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler,"5012","actuator","boolean","True","","","","Cooler switch for Seat heater","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Cooler.Row1,"5012","actuator","boolean","True","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos1,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos2,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos3,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos4,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos5,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2,"5012","actuator","boolean","True","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos1,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos2,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos3,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos4,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos5,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3,"5012","actuator","boolean","True","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos1,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos2,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos3,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos4,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos5,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4,"5012","actuator","boolean","True","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos1,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos2,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos3,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos4,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos5,"5012","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Forward,"5013","actuator","boolean","True","","","","Seat forward switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Forward.Row1,"5013","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos1,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos2,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos3,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos4,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos5,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2,"5013","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos1,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos2,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos3,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos4,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos5,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3,"5013","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos1,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos2,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos3,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos4,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos5,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4,"5013","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos1,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos2,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos3,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos4,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos5,"5013","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward,"5014","actuator","boolean","True","","","","Seat forward switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Backward.Row1,"5014","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos1,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos2,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos3,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos4,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos5,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2,"5014","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos1,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos2,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos3,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos4,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos5,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3,"5014","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos1,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos2,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos3,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos4,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos5,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4,"5014","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos1,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos2,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos3,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos4,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos5,"5014","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up,"5015","actuator","boolean","True","","","","Seat up switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Up.Row1,"5015","actuator","boolean","True","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos1,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos2,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos3,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos4,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos5,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2,"5015","actuator","boolean","True","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos1,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos2,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos3,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos4,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos5,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3,"5015","actuator","boolean","True","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos1,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos2,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos3,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos4,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos5,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4,"5015","actuator","boolean","True","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos1,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos2,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos3,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos4,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos5,"5015","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down,"5016","actuator","boolean","True","","","","Seat down switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Down.Row1,"5016","actuator","boolean","True","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos1,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos2,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos3,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos4,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos5,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2,"5016","actuator","boolean","True","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos1,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos2,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos3,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos4,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos5,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3,"5016","actuator","boolean","True","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos1,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos2,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos3,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos4,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos5,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4,"5016","actuator","boolean","True","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos1,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos2,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos3,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos4,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos5,"5016","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint,"5017","branch","","False","","","","Head restraint switches","","",""
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up,"5018","actuator","boolean","True","","","","Head restraint up switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1,"5018","actuator","boolean","True","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos1,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos2,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos3,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos4,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos5,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2,"5018","actuator","boolean","True","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos1,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos2,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos3,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos4,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos5,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3,"5018","actuator","boolean","True","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos1,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos2,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos3,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos4,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos5,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4,"5018","actuator","boolean","True","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos1,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos2,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos3,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos4,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos5,"5018","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down,"5019","actuator","boolean","True","","","","Head restraint down switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1,"5019","actuator","boolean","True","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos1,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos2,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos3,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos4,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos5,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2,"5019","actuator","boolean","True","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos1,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos2,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos3,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos4,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos5,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3,"5019","actuator","boolean","True","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos1,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos2,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos3,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos4,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos5,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4,"5019","actuator","boolean","True","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos1,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos2,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos3,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos4,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos5,"5019","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage,"5020","branch","","False","","","","Massage switches","","",""
Vehicle.Cabin.Seat.Switch.Massage.Increase,"5021","actuator","boolean","True","","","","Increase massage level switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1,"5021","actuator","boolean","True","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos1,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos2,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos3,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos4,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos5,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2,"5021","actuator","boolean","True","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos1,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos2,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos3,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos4,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos5,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3,"5021","actuator","boolean","True","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos1,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos2,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos3,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos4,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos5,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row4,"5021","actuator","boolean","True","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row4.Pos1,"5021","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
